171,Debt collection,False statements representation,Collection Bureau Incorporated,ID,83715,3235195
172,Debt collection,Attempts collect debt owed,"Ability Recovery Services, LLC",PA,19134,3234782
173,Debt collection,Written notification debt,"Credit Protection Association, L.P.",AZ,85710,3235104
174,Debt collection,Attempts collect debt owed,NAVY FEDERAL CREDIT UNION,FL,33322,3234266
175,Debt collection,Threatened contact someone share information improperly,Northern Resolution Services,OH,454XX,3235410
176,Debt collection,Attempts collect debt owed,"ONLINE Information Services, Inc.",AL,358XX,3234698
177,Debt collection,Attempts collect debt owed,"Diversified Consultants, Inc.",AZ,850XX,3234554
178,Credit card prepaid card,Getting credit card,NAVY FEDERAL CREDIT UNION,TX,75287,3234768
180,Debt collection,Attempts collect debt owed,NAVY FEDERAL CREDIT UNION,CA,920XX,3233866
181,Debt collection,Took threatened take negative legal action,"Diversified Consultants, Inc.",LA,704XX,3235446
182,Debt collection,Attempts collect debt owed,Monterey Financial Services LLC,VA,236XX,3235086
183,Credit card prepaid card,Getting credit card,SYNCHRONY FINANCIAL,SC,29644,3235314
185,Debt collection,False statements representation,TH Professional & Medical Collections LTD,IL,616XX,3235372
187,Debt collection,Attempts collect debt owed,"Designed Receivable Solultions, Inc.",CA,902XX,3234978
188,Credit card prepaid card,Fees interest,Army and Air Force Exchange Service,FL,33511,3234787
189,Mortgage,Applying mortgge refinncing existing mortgge,NATIONSTAR MORTGAGE,CA,92026,3234830
190,Credit reporting credit repair services personal consumer reports,Incorrect information report,STERLING INFOSYSTEMS INC,CA,90706,3234228
191,Credit reporting credit repair services personal consumer reports,Incorrect information report,NAVY FEDERAL CREDIT UNION,FL,33030,3234914
192,Debt collection,Attempts collect debt owed,"Southwest Credit Systems, L.P.",NJ,070XX,3234635
194,Debt collection,Communication tactics,ERC,FL,339XX,3234221
195,Money transfer virtual currency money service,Problem customer service,NAVY FEDERAL CREDIT UNION,GA,31907,3235022
196,Debt collection,Written notification debt,"General Business Recoveries, Inc.",AZ,85710,3234621
197,Checking savings account,Managing account,NAVY FEDERAL CREDIT UNION,CA,955XX,3234819
198,Credit reporting credit repair services personal consumer reports,Improper use report,AMERICAN EXPRESS COMPANY,PA,152XX,3234230
199,Credit reporting credit repair services personal consumer reports,Incorrect information report,"EQUIFAX, INC.",TX,776XX,3234606
201,Mortgage,Trouble payment process,"FLAGSTAR BANK, FSB",TX,775XX,3234288
